client timestamp,button,state,x,y
2458,NoButton,Move,1274,673
2467,NoButton,Move,1274,673
2475,NoButton,Move,1275,673
2483,NoButton,Move,1275,673
2491,NoButton,Move,1277,673
2499,NoButton,Move,1277,673
2506,NoButton,Move,1277,672
2514,NoButton,Move,1278,672
2523,NoButton,Move,1280,670
2531,NoButton,Move,1280,670
2539,NoButton,Move,1280,670
2547,NoButton,Move,1281,670
2555,NoButton,Move,1281,670
2563,NoButton,Move,1281,670
2571,NoButton,Move,1281,670
2579,NoButton,Move,1281,670
2587,NoButton,Move,1281,670
2595,NoButton,Move,1281,670
2603,NoButton,Move,1281,670
2611,NoButton,Move,1281,670
2618,NoButton,Move,1281,670
2627,NoButton,Move,1281,670
2635,NoButton,Move,1281,670
2642,NoButton,Move,1281,670
2651,NoButton,Move,1281,670
2659,NoButton,Move,1281,670
2667,NoButton,Move,1281,670
2674,NoButton,Move,1281,670
2682,NoButton,Move,1281,670
2691,NoButton,Move,1281,670
2699,NoButton,Move,1281,670
2707,NoButton,Move,1281,670
2712,Left,Pressed,1281,670
2712,Left,Released,1281,670
3131,NoButton,Move,1281,670
3138,NoButton,Move,1281,670
3147,NoButton,Move,1281,670
3155,NoButton,Move,1281,670
3163,NoButton,Move,1281,670
3171,NoButton,Move,1281,670
3178,NoButton,Move,1281,670
3187,NoButton,Move,1281,670
3195,NoButton,Move,1281,670
3203,NoButton,Move,1281,670
3211,NoButton,Move,1281,670
3219,NoButton,Move,1281,670
3227,NoButton,Move,1281,670
3235,NoButton,Move,1281,670
3243,NoButton,Move,1281,670
3251,NoButton,Move,1281,670
3259,NoButton,Move,1283,670
3266,NoButton,Move,1284,670
3275,NoButton,Move,1287,670
3283,NoButton,Move,1289,670
3291,NoButton,Move,1292,671
3299,NoButton,Move,1295,671
3306,NoButton,Move,1298,673
3315,NoButton,Move,1299,673
3323,NoButton,Move,1302,673
3331,NoButton,Move,1302,673
3339,NoButton,Move,1304,673
3347,NoButton,Move,1305,673
3355,NoButton,Move,1305,674
3362,NoButton,Move,1307,674
3371,NoButton,Move,1307,674
3379,NoButton,Move,1308,674
3386,NoButton,Move,1308,676
3395,NoButton,Move,1308,676
3403,NoButton,Move,1308,676
3411,NoButton,Move,1310,676
3418,NoButton,Move,1310,676
3427,NoButton,Move,1310,676
